max_depth: 33, min_samples_split: 4, min_samples_leaf: 1, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8999310820124052, rmse: 0.31633671615478776
max_depth: 34, min_samples_split: 4, min_samples_leaf: 1, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9008959338387319, rmse: 0.314807983001175
max_depth: None, min_samples_split: 4, min_samples_leaf: 1, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8999310820124052, rmse: 0.31633671615478776
max_depth: 29, min_samples_split: 4, min_samples_leaf: 2, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8980013783597519, rmse: 0.31937223054023983
max_depth: 30, min_samples_split: 4, min_samples_leaf: 2, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9003445899379738, rmse: 0.3156824513051465
max_depth: 31, min_samples_split: 4, min_samples_leaf: 2, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8964851826326671, rmse: 0.32173718679588914
max_depth: 32, min_samples_split: 4, min_samples_leaf: 2, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8974500344589939, rmse: 0.3202342354293279
max_depth: 33, min_samples_split: 4, min_samples_leaf: 2, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8968986905582357, rmse: 0.32109392619880606
max_depth: 34, min_samples_split: 4, min_samples_leaf: 2, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8980013783597519, rmse: 0.31937223054023983
max_depth: None, min_samples_split: 4, min_samples_leaf: 2, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8989662301860786, rmse: 0.3178580969771282
max_depth: 29, min_samples_split: 5, min_samples_leaf: 1, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9015851137146795, rmse: 0.31371146980198295
max_depth: 30, min_samples_split: 5, min_samples_leaf: 1, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9032391454169538, rmse: 0.3110640682930868
max_depth: 31, min_samples_split: 5, min_samples_leaf: 1, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9021364576154376, rmse: 0.31283149199619015
max_depth: 32, min_samples_split: 5, min_samples_leaf: 1, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8999310820124052, rmse: 0.31633671615478776
max_depth: 33, min_samples_split: 5, min_samples_leaf: 1, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9013094417643005, rmse: 0.3141505343552666
max_depth: 34, min_samples_split: 5, min_samples_leaf: 1, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9004824259131633, rmse: 0.31546406148218636
max_depth: None, min_samples_split: 5, min_samples_leaf: 1, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9000689179875948, rmse: 0.31611877832929386
max_depth: 29, min_samples_split: 5, min_samples_leaf: 2, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9000689179875948, rmse: 0.31611877832929386
max_depth: 30, min_samples_split: 5, min_samples_leaf: 2, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8980013783597519, rmse: 0.31937223054023983
max_depth: 31, min_samples_split: 5, min_samples_leaf: 2, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9004824259131633, rmse: 0.31546406148218636
max_depth: 32, min_samples_split: 5, min_samples_leaf: 2, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9003445899379738, rmse: 0.3156824513051465
max_depth: 33, min_samples_split: 5, min_samples_leaf: 2, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8997932460372157, rmse: 0.31655450393697493
max_depth: 34, min_samples_split: 5, min_samples_leaf: 2, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8999310820124052, rmse: 0.31633671615478776
max_depth: None, min_samples_split: 5, min_samples_leaf: 2, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8999310820124052, rmse: 0.31633671615478776
max_depth: 29, min_samples_split: 2, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.895933838731909, rmse: 0.3225928723144561
max_depth: 30, min_samples_split: 2, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9015851137146795, rmse: 0.31371146980198295
max_depth: 31, min_samples_split: 2, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9018607856650586, rmse: 0.3132717898805148
max_depth: 32, min_samples_split: 2, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9011716057891109, rmse: 0.3143698366747183
max_depth: 33, min_samples_split: 2, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9002067539627843, rmse: 0.3159006901499516
max_depth: 34, min_samples_split: 2, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9004824259131633, rmse: 0.31546406148218636
max_depth: None, min_samples_split: 2, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9018607856650586, rmse: 0.3132717898805148
max_depth: 29, min_samples_split: 2, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8980013783597519, rmse: 0.31937223054023983
max_depth: 30, min_samples_split: 2, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9003445899379738, rmse: 0.3156824513051465
max_depth: 31, min_samples_split: 2, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8964851826326671, rmse: 0.32173718679588914
max_depth: 32, min_samples_split: 2, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8974500344589939, rmse: 0.3202342354293279
max_depth: 33, min_samples_split: 2, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8968986905582357, rmse: 0.32109392619880606
max_depth: 34, min_samples_split: 2, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8980013783597519, rmse: 0.31937223054023983
max_depth: None, min_samples_split: 2, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8989662301860786, rmse: 0.3178580969771282
max_depth: 29, min_samples_split: 3, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8978635423845623, rmse: 0.3195879497344004
max_depth: 30, min_samples_split: 3, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9006202618883529, rmse: 0.31524552036729586
max_depth: 31, min_samples_split: 3, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8986905582356995, rmse: 0.31829144155050804
max_depth: 32, min_samples_split: 3, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8974500344589939, rmse: 0.3202342354293279
max_depth: 33, min_samples_split: 3, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8991040661612681, rmse: 0.3176412029928295
max_depth: 34, min_samples_split: 3, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.90144727773949, rmse: 0.3139310788381902
max_depth: None, min_samples_split: 3, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8995175740868366, rmse: 0.31698963060826346
max_depth: 29, min_samples_split: 3, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8980013783597519, rmse: 0.31937223054023983
max_depth: 30, min_samples_split: 3, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9003445899379738, rmse: 0.3156824513051465
max_depth: 31, min_samples_split: 3, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8964851826326671, rmse: 0.32173718679588914
max_depth: 32, min_samples_split: 3, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8974500344589939, rmse: 0.3202342354293279
max_depth: 33, min_samples_split: 3, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8968986905582357, rmse: 0.32109392619880606
max_depth: 34, min_samples_split: 3, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8980013783597519, rmse: 0.31937223054023983
max_depth: None, min_samples_split: 3, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8989662301860786, rmse: 0.3178580969771282
max_depth: 29, min_samples_split: 4, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8997932460372157, rmse: 0.31655450393697493
max_depth: 30, min_samples_split: 4, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8975878704341833, rmse: 0.32001895188537927
max_depth: 31, min_samples_split: 4, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8986905582356995, rmse: 0.31829144155050804
max_depth: 32, min_samples_split: 4, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8991040661612681, rmse: 0.3176412029928295
max_depth: 33, min_samples_split: 4, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8999310820124052, rmse: 0.31633671615478776
max_depth: 34, min_samples_split: 4, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9008959338387319, rmse: 0.314807983001175
max_depth: None, min_samples_split: 4, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8999310820124052, rmse: 0.31633671615478776
max_depth: 29, min_samples_split: 4, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8980013783597519, rmse: 0.31937223054023983
max_depth: 30, min_samples_split: 4, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9003445899379738, rmse: 0.3156824513051465
max_depth: 31, min_samples_split: 4, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8964851826326671, rmse: 0.32173718679588914
max_depth: 32, min_samples_split: 4, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8974500344589939, rmse: 0.3202342354293279
max_depth: 33, min_samples_split: 4, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8968986905582357, rmse: 0.32109392619880606
max_depth: 34, min_samples_split: 4, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8980013783597519, rmse: 0.31937223054023983
max_depth: None, min_samples_split: 4, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8989662301860786, rmse: 0.3178580969771282
max_depth: 29, min_samples_split: 5, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9015851137146795, rmse: 0.31371146980198295
max_depth: 30, min_samples_split: 5, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9032391454169538, rmse: 0.3110640682930868
max_depth: 31, min_samples_split: 5, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9021364576154376, rmse: 0.31283149199619015
max_depth: 32, min_samples_split: 5, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8999310820124052, rmse: 0.31633671615478776
max_depth: 33, min_samples_split: 5, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9013094417643005, rmse: 0.3141505343552666
max_depth: 34, min_samples_split: 5, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9004824259131633, rmse: 0.31546406148218636
max_depth: None, min_samples_split: 5, min_samples_leaf: 1, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9000689179875948, rmse: 0.31611877832929386
max_depth: 29, min_samples_split: 5, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9000689179875948, rmse: 0.31611877832929386
max_depth: 30, min_samples_split: 5, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8980013783597519, rmse: 0.31937223054023983
max_depth: 31, min_samples_split: 5, min_samples_leaf: 2, max feature: sqrt, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9004824259131633, rmse: 0.31546406148218636
